Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
808,958893,"dev/ABC424c.py",531,0," ",python,content
809,969111,"dev/ABC424c.py",531,0,"a",python,content
810,969887,"dev/ABC424c.py",531,1,"",python,content
811,973714,"dev/ABC424c.py",531,0,"s",python,content
812,973951,"dev/ABC424c.py",532,0,"k",python,content
813,974108,"dev/ABC424c.py",533,0,"i",python,content
814,974206,"dev/ABC424c.py",534,0,"l",python,content
815,974354,"dev/ABC424c.py",535,0,"l",python,content
816,975462,"dev/ABC424c.py",531,5,"",python,content
817,977655,"dev/ABC424c.py",531,0,"t",python,content
818,978787,"dev/ABC424c.py",546,0,"\n        ",python,content
819,986938,"dev/ABC424c.py",555,0,"r",python,content
820,987021,"dev/ABC424c.py",556,0,"e",python,content
821,987191,"dev/ABC424c.py",557,0,"q",python,content
822,987849,"dev/ABC424c.py",555,3,"req_skills",python,content
823,988800,"dev/ABC424c.py",565,0,"[]",python,content
824,991582,"dev/ABC424c.py",566,0,"t",python,content
825,993915,"dev/ABC424c.py",555,0,"i",python,content
826,994095,"dev/ABC424c.py",556,0,"f",python,content
827,994435,"dev/ABC424c.py",557,0," ",python,content
828,994743,"dev/ABC424c.py",558,0,"d",python,content
829,995286,"dev/ABC424c.py",558,1,"",python,content
830,998738,"dev/ABC424c.py",571,0," ",python,content
831,998890,"dev/ABC424c.py",572,0,"n",python,content
832,998926,"dev/ABC424c.py",573,0,"o",python,content
833,999088,"dev/ABC424c.py",574,0,"t",python,content
834,999591,"dev/ABC424c.py",574,1,"",python,content
835,1000111,"dev/ABC424c.py",574,0,"t",python,content
836,1000277,"dev/ABC424c.py",575,0," ",python,content
837,1000378,"dev/ABC424c.py",576,0,"i",python,content
838,1000441,"dev/ABC424c.py",577,0,"n",python,content
839,1000564,"dev/ABC424c.py",578,0," ",python,content
840,1000711,"dev/ABC424c.py",579,0,"d",python,content
841,1000724,"dev/ABC424c.py",580,0,"o",python,content
842,1000786,"dev/ABC424c.py",581,0,"n",python,content
843,1000935,"dev/ABC424c.py",582,0,"e",python,content
844,1001091,"dev/ABC424c.py",583,0,":",python,content
845,1001137,"dev/ABC424c.py",584,0,"\n            ",python,content
846,1004107,"dev/ABC424c.py",555,38,"",python,content
847,1004612,"dev/ABC424c.py",555,0,"f",python,content
848,1004693,"dev/ABC424c.py",556,0,"o",python,content
849,1004794,"dev/ABC424c.py",557,0,"r",python,content
850,1004931,"dev/ABC424c.py",558,0," ",python,content
851,1005095,"dev/ABC424c.py",559,0,"i",python,content
852,1005211,"dev/ABC424c.py",560,0," ",python,content
853,1007871,"dev/ABC424c.py",561,0,"i",python,content
854,1007973,"dev/ABC424c.py",562,0,"n",python,content
855,1008081,"dev/ABC424c.py",563,0," ",python,content
856,1008769,"dev/ABC424c.py",564,0,"r",python,content
857,1008804,"dev/ABC424c.py",565,0,"e",python,content
858,1008977,"dev/ABC424c.py",566,0,"q",python,content
859,1009227,"dev/ABC424c.py",567,0,"_",python,content
860,1009481,"dev/ABC424c.py",568,0,"s",python,content
861,1009719,"dev/ABC424c.py",564,5,"req_skills",python,content
862,1010297,"dev/ABC424c.py",574,0,":",python,content
863,1010325,"dev/ABC424c.py",575,0,"\n            ",python,content
864,1010877,"dev/ABC424c.py",588,0,"i",python,content
865,1010979,"dev/ABC424c.py",589,0,"f",python,content
866,1011127,"dev/ABC424c.py",590,0," ",python,content
867,1012510,"dev/ABC424c.py",591,0,"i",python,content
868,1012681,"dev/ABC424c.py",592,0," ",python,content
869,1012775,"dev/ABC424c.py",593,0,"n",python,content
870,1012820,"dev/ABC424c.py",594,0,"o",python,content
871,1012975,"dev/ABC424c.py",595,0,"t",python,content
872,1013271,"dev/ABC424c.py",596,0," ",python,content
873,1013384,"dev/ABC424c.py",597,0,"i",python,content
874,1013461,"dev/ABC424c.py",598,0,"n",python,content
875,1013548,"dev/ABC424c.py",599,0," ",python,content
876,1013780,"dev/ABC424c.py",600,0,"d",python,content
877,1013783,"dev/ABC424c.py",601,0,"o",python,content
878,1013832,"dev/ABC424c.py",602,0,"n",python,content
879,1013979,"dev/ABC424c.py",603,0,"e",python,content
880,1014091,"dev/ABC424c.py",604,0,":",python,content
881,1014127,"dev/ABC424c.py",605,0,"\n                ",python,content
882,1015787,"dev/ABC424c.py",622,4,"",python,content
883,1016283,"dev/ABC424c.py",622,0,"s",python,content
884,1016427,"dev/ABC424c.py",623,0,"t",python,content
885,1016509,"dev/ABC424c.py",624,0,"a",python,content
886,1016690,"dev/ABC424c.py",625,0,"c",python,content
887,1016817,"dev/ABC424c.py",626,0,"k",python,content
888,1017227,"dev/ABC424c.py",627,0,".",python,content
889,1017326,"dev/ABC424c.py",628,0,"a",python,content
890,1017432,"dev/ABC424c.py",629,0,"p",python,content
891,1017541,"dev/ABC424c.py",630,0,"p",python,content
892,1017588,"dev/ABC424c.py",631,0,"e",python,content
893,1017742,"dev/ABC424c.py",632,0,"n",python,content
894,1017783,"dev/ABC424c.py",633,0,"d",python,content
895,1018557,"dev/ABC424c.py",634,0,"()",python,content
896,1020205,"dev/ABC424c.py",635,0,"i",python,content
897,1024565,"dev/ABC424c.py",637,0,"\n                ",python,content
898,1024835,"dev/ABC424c.py",654,0,"d",python,content
899,1024946,"dev/ABC424c.py",655,0,"i",python,content
900,1024963,"dev/ABC424c.py",656,0,"o",python,content
901,1025329,"dev/ABC424c.py",656,1,"",python,content
902,1025481,"dev/ABC424c.py",655,1,"",python,content
903,1025699,"dev/ABC424c.py",655,0,"o",python,content
904,1025743,"dev/ABC424c.py",656,0,"n",python,content
905,1025865,"dev/ABC424c.py",657,0,"e",python,content
906,1026317,"dev/ABC424c.py",658,0,".",python,content
907,1026967,"dev/ABC424c.py",659,0,"a",python,content
908,1027116,"dev/ABC424c.py",660,0,"d",python,content
909,1027269,"dev/ABC424c.py",661,0,"d",python,content
910,1027519,"dev/ABC424c.py",662,0,"()",python,content
911,1029511,"dev/ABC424c.py",663,0,"i",python,content
912,1032513,"dev/ABC424c.py",665,0,"\n                ",python,content
913,1032988,"dev/ABC424c.py",666,16,"",python,content
914,1043780,"dev/ABC424c.py",666,0,"    ",python,content
915,1045235,"dev/ABC424c.py",670,0,"p",python,content
916,1045485,"dev/ABC424c.py",671,0,"r",python,content
917,1045538,"dev/ABC424c.py",672,0,"i",python,content
918,1045603,"dev/ABC424c.py",673,0,"n",python,content
919,1045652,"dev/ABC424c.py",674,0,"t",python,content
920,1045878,"dev/ABC424c.py",675,0,"()",python,content
921,1046133,"dev/ABC424c.py",676,0,"l",python,content
922,1046158,"dev/ABC424c.py",677,0,"e",python,content
923,1046283,"dev/ABC424c.py",678,0,"n",python,content
924,1046653,"dev/ABC424c.py",679,0,"()",python,content
925,1047153,"dev/ABC424c.py",680,0,"d",python,content
926,1047181,"dev/ABC424c.py",681,0,"o",python,content
927,1047228,"dev/ABC424c.py",682,0,"n",python,content
928,1047311,"dev/ABC424c.py",683,0,"e",python,content
929,1136092,"dev/ABC424c.py",574,0,"[]",python,content
930,1136354,"dev/ABC424c.py",575,0,"t",python,content
930,1136354,"dev/ABC424c.py",575,0,"t",python,content
931,1136354,"dev/ABC424c.py",576,0,"y",python,content
932,1136758,"dev/ABC424c.py",576,1,"",python,content
933,1166323,"dev/ABC424c.py",320,5,"",python,content
934,1169043,"dev/ABC424c.py",320,0,"r",python,content
935,1169138,"dev/ABC424c.py",321,0,"a",python,content
936,1169252,"dev/ABC424c.py",322,0,"n",python,content
937,1169395,"dev/ABC424c.py",323,0,"g",python,content
938,1169411,"dev/ABC424c.py",324,0,"e",python,content
939,1169740,"dev/ABC424c.py",325,0,"()",python,content
940,1170024,"dev/ABC424c.py",326,0,"N",python,content
941,1178994,"dev/ABC424c.py",344,0,"S",python,content
942,1179092,"dev/ABC424c.py",345,0,"K",python,content
943,1179242,"dev/ABC424c.py",346,0,"I",python,content
944,1179429,"dev/ABC424c.py",347,0,"L",python,content
945,1179581,"dev/ABC424c.py",348,0,"L",python,content
946,1179871,"dev/ABC424c.py",349,0,"[",python,content
947,1180291,"dev/ABC424c.py",351,0,"]",python,content
948,1217506,"dev/ABC424c.py",499,17,"",python,content
949,1218813,"dev/ABC424c.py",273,0,"\n    ",python,content
950,1219036,"dev/ABC424c.py",274,4,"",python,content
950,1219036,"dev/ABC424c.py",274,4,"",python,content
951,1219036,"dev/ABC424c.py",274,0,"    done = set()\n",python,content
952,1221610,"dev/ABC424c.py",426,0,"\n            ",python,content
953,1221844,"dev/ABC424c.py",439,0,"d",python,content
954,1221966,"dev/ABC424c.py",440,0,"o",python,content
955,1222074,"dev/ABC424c.py",441,0,"n",python,content
956,1222140,"dev/ABC424c.py",442,0,"e",python,content
957,1222366,"dev/ABC424c.py",443,0,".",python,content
958,1222487,"dev/ABC424c.py",444,0,"a",python,content
959,1222654,"dev/ABC424c.py",445,0,"d",python,content
960,1222775,"dev/ABC424c.py",446,0,"d",python,content
961,1222964,"dev/ABC424c.py",447,0,"()",python,content
962,1223210,"dev/ABC424c.py",448,0,"i",python,content
963,1278955,"dev/ABC424e.py",0,0,"# ABC424e\n# 2025-09-20 20:38:35\n\ndef main():\n    # 関数定義スペース\n\n    def func():\n        ...\n\n    ...    \n    # 入力スペース\n\n    N = splitN(input())\n    H, W = splitA(input())\n    A = splitA(input())\n    S = splitS(input())\n    S = splitB(input())\n\n    ...\n\n    # 処理スペース\n\n\n\n\n\n\n    ...\n\n\n\n# テストケース中枢処理\ndef case():\n    TESTCASE = 1\n    # TESTCASE = int(input()) # テストケース数の指定\n    for _ in range(TESTCASE):\n        try:\n            main()\n        except solvedException:\n            continue\n        # raise unSolvedExeption\n\n\n# インポート\nimport sys, itertools, math, heapq\nfrom collections import defaultdict, deque\nfrom sortedcontainers import SortedSet, SortedList, SortedDict  # CPython?\n\n# 定数・環境設定\nsys.setrecursionlimit(10**8)\nsys.set_int_max_str_digits(0)\ndict = defaultdict\nUPPER_ALPHABET = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""\nLOWER_ALPHABET=""abcdefghijklmnopqrstuvwxyz""\nMOD = 998244353\nMAX = 10**18\nLRUD = [(0, 1), (0, -1), (1, 0), (-1, 0)]\nLURULDRD = [(-1, -1), (-1, 1), (1, -1), (1, 1)]\n\n# 各種関数定義(超圧縮)\n## 便利関数\ndef printe(*values,sep="" "",end=""\n""):print(*values,sep=sep,end=end); fin()\ndef prin(stop=False,sep="" "",end=""\n"",file=sys.stdout):return (lambda*values:printe(*values,sep=sep,end=end)) if stop else (lambda*values:print(*values,sep=sep,end=end,file=file))\ndef yes(f=True): printe(""Yes"") if (f) else None\ndef no(f=True): printe(""No"") if (f) else None\ndef debug(*values,sep="" "",end=""\n""): print(*values,sep=sep,end=end,file=sys.stderr)\ndef printYN(f:bool): yes() if f else no()\ndef fin(f=True): raise solvedException if f else None\n## 分割関数\ndef split(value:str|list,sep:str="" "",func:callable=str) -> list:\n    result = []\n    if type(value) == list:\n        for i in range(len(value)):\n            result.append(split(value[i],sep))\n        return result\n    else:\n        if sep in value:\n            for i in value.split(sep):\n                result.append(func(i))\n        else:\n            result.append(func(value))\n        return result\n## 入力受け取り用\ndef input():return(sys.stdin.readline()).rstrip() #入力定数倍\ndef splitS(value:str|list,sep:str="" "")->str:return split(value,sep)[0] #文字列・分割して最初\ndef splitN(value:str|list,sep:str="" "")->int:return split(value,sep,int)[0] # 整数・分割して最初\ndef splitB(value:str|list,sep:str="" "")->list:return list(split(value,sep)) # 文字列・分割してすべて\ndef splitA(value:str|list,sep:str="" "")->list:return list(split(value,sep,int)) # 整数・分割してすべて\n\n# 例外クラス\nclass solvedException(Exception): pass # 処理打ち切り例外\nclass unSolvedExeption(Exception): # 回答未出力例外\n    def __init__(description = ""解答が出力されていません。""): super().__init__(description)\n\n# 実行\nif __name__ == ""__main__"":\n    case()\n",python,tab
964,1279343,"dev/ABC424d.py",0,0,"# ABC424d\n# 2025-09-20 20:38:35\n\ndef main():\n    # 関数定義スペース\n\n    def func():\n        ...\n\n    ...    \n    # 入力スペース\n\n    N = splitN(input())\n    H, W = splitA(input())\n    A = splitA(input())\n    S = splitS(input())\n    S = splitB(input())\n\n    ...\n\n    # 処理スペース\n\n\n\n\n\n\n    ...\n\n\n\n# テストケース中枢処理\ndef case():\n    TESTCASE = 1\n    # TESTCASE = int(input()) # テストケース数の指定\n    for _ in range(TESTCASE):\n        try:\n            main()\n        except solvedException:\n            continue\n        # raise unSolvedExeption\n\n\n# インポート\nimport sys, itertools, math, heapq\nfrom collections import defaultdict, deque\nfrom sortedcontainers import SortedSet, SortedList, SortedDict  # CPython?\n\n# 定数・環境設定\nsys.setrecursionlimit(10**8)\nsys.set_int_max_str_digits(0)\ndict = defaultdict\nUPPER_ALPHABET = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""\nLOWER_ALPHABET=""abcdefghijklmnopqrstuvwxyz""\nMOD = 998244353\nMAX = 10**18\nLRUD = [(0, 1), (0, -1), (1, 0), (-1, 0)]\nLURULDRD = [(-1, -1), (-1, 1), (1, -1), (1, 1)]\n\n# 各種関数定義(超圧縮)\n## 便利関数\ndef printe(*values,sep="" "",end=""\n""):print(*values,sep=sep,end=end); fin()\ndef prin(stop=False,sep="" "",end=""\n"",file=sys.stdout):return (lambda*values:printe(*values,sep=sep,end=end)) if stop else (lambda*values:print(*values,sep=sep,end=end,file=file))\ndef yes(f=True): printe(""Yes"") if (f) else None\ndef no(f=True): printe(""No"") if (f) else None\ndef debug(*values,sep="" "",end=""\n""): print(*values,sep=sep,end=end,file=sys.stderr)\ndef printYN(f:bool): yes() if f else no()\ndef fin(f=True): raise solvedException if f else None\n## 分割関数\ndef split(value:str|list,sep:str="" "",func:callable=str) -> list:\n    result = []\n    if type(value) == list:\n        for i in range(len(value)):\n            result.append(split(value[i],sep))\n        return result\n    else:\n        if sep in value:\n            for i in value.split(sep):\n                result.append(func(i))\n        else:\n            result.append(func(value))\n        return result\n## 入力受け取り用\ndef input():return(sys.stdin.readline()).rstrip() #入力定数倍\ndef splitS(value:str|list,sep:str="" "")->str:return split(value,sep)[0] #文字列・分割して最初\ndef splitN(value:str|list,sep:str="" "")->int:return split(value,sep,int)[0] # 整数・分割して最初\ndef splitB(value:str|list,sep:str="" "")->list:return list(split(value,sep)) # 文字列・分割してすべて\ndef splitA(value:str|list,sep:str="" "")->list:return list(split(value,sep,int)) # 整数・分割してすべて\n\n# 例外クラス\nclass solvedException(Exception): pass # 処理打ち切り例外\nclass unSolvedExeption(Exception): # 回答未出力例外\n    def __init__(description = ""解答が出力されていません。""): super().__init__(description)\n\n# 実行\nif __name__ == ""__main__"":\n    case()\n",python,tab
965,1288194,"dev/ABC424d.py",308,0,"# ",python,content
966,1288587,"dev/ABC424d.py",327,2,"",python,content
967,1299732,"dev/ABC424d.py",120,0,"# ",python,content
968,1323294,"dev/ABC424d.py",173,0,"# ",python,content
969,1324523,"dev/ABC424d.py",223,0,"# ",python,content
970,1328833,"dev/ABC424d.py",116,26,"",python,content
971,1329538,"dev/ABC424d.py",143,26,"",python,content
972,1330217,"dev/ABC424d.py",167,26,"",python,content
973,1340259,"lang/python/material/two_dimensional_array_board.py",0,0,"class Board():\n\n    """"""\n    二次元ボードを便利に使いやすくするためのクラス\n    """""" \n    ROTATE_0_DEGREE = 0\n    ROTATE_90_DEGREE = 1\n    ROTATE_180_DEGREE = 2\n    ROTATE_270_DEGREE = 3\n\n    # 自作ボードクラスのショートカット関数  \n    def input_board(height:int,f=lambda:input(list())):\n        """"""\n        標準入力からボード作成\n        Args:\n            -  height(int):高さ\n            -  f(function):入力の形式 指定しなかった場合は自動で\n                スペースのない文字列を想定した入力になる\n        Returns:\n            Board:作成されたボードクラス\n        """"""\n        board=[]\n        for i in range(height):\n            board.append(f())\n        return Board(board)\n\n    def input_board_with_wall(height:int,width:int,wall:any,f:lambda x:input(list())):\n        """"""\n        標準入力からボード作成(ATフィールド付)\n        Args:\n            -  height(int):高さ\n            -  width(int):幅\n            -  wall:壁に割り当てる値\n            -  f(function):入力の形式 指定しなかった場合は自動で\n                スペースのない文字列を想定した入力になる\n        Returns:\n            Board:作成されたボードクラス\n        """"""\n        board=[]\n        for i in range(height):\n            board.append(f()+[wall])\n        board.append([wall]*(width+1))\n        return Board(board)\n\n    def create_board(height:int,width:int,initial_value):\n        """"""\n        指定した高さと幅でボードを作成し、全て初期値を代入する。\n\n        Args:\n            -  height (int): 高さ\n            -  width (int): 幅\n            -  initial_value: 初期値 \n\n        Returns:\n            -  Board: 作成されたボード\n        """"""\n        raw_board = []\n        for i in range(height):\n            raw_board.append([initial_value]*width)\n        return Board(raw_board)\n\n\n    def __init__(self,board_data:list):\n        """"""\n        インスタンス生成関数\n        Args:\n            -  board_data(list):生成する元となる二次元配列データ\n        """"""\n        self.__data=[]\n        self.__height=len(board_data)\n        assert 0<self.__height #高さが0以下だった場合はボードの作りようがないためエラー\n        self.__width=len(board_data[0])\n        for i in range(self.__height):\n            assert len(board_data[i])==self.__width #幅がぶれているとこのクラスでは扱えないためエラー\n            self.__data.append(board_data[i])\n        self.__cells=self.__height*self.__width\n\n    def get_height(self):\n        """"""\n        ボードの高さの値を返す関数\n\n        Returns:\n            -  int:heightの値\n        """"""\n        return self.__height\n\n    def get_width(self):\n        """"""\n        ボードの幅の値を返す関数\n\n        Returns:\n            -  int:widthの値\n        """"""\n        return self.__width\n\n\n    def __len__(self):\n        """"""\n        len()を使うための関数\n        レコードの数を返す\n\n        Returns:\n            -  int:二次元配列のレコードの数\n        """"""\n        return self.__cells\n    \n    \n    def __getitem__(self,pos:tuple):\n        """"""\n        board[]を利用するための関数\n        レコードの値を取り出す\n\n        Args:\n            -  (y,x)形式の座標を表すタプル\n        Returns:\n            -  any:テーブルのy行目j列目の値\n        """"""\n        return self.__data[pos[0]][pos[1]]\n    \n    def get(self,pos:tuple):\n        """"""\n        レコードの値を取り出す関数\n\n        Args:\n            -  pos(tuple):(y,x)形式の座標を表すタプル\n        Returns:\n            -  any:テーブルのy行目j列目の値        \n        """"""        \n        return self[pos]\n\n    def __str__(self):\n        """"""\n        str()で呼び出される関数\n        いい感じに整形して出力する\n        Returns:\n            -  str:いい感じに整形された二次元配列の文字列\n        """"""\n        datas=[]\n        sep_count=0\n        for i in range(self.__height):\n            \n            item="" | "".join(str(j) for j in self.__data[i])\n            datas.append(item)\n            sep_count=max(sep_count,len(item))\n            if i==self.__height-1:\n                sep=""\n""+""-""*sep_count+""-\n""\n        return sep.join(datas)\n\n    def set(self,pos,value):\n        """"""\n        値を代入する関数\n        Args:\n            -  pos(tuple):(y,x)形式の座標を表すタプル\n            -  value(any):代入する値\n        """"""\n        self[pos]=value\n\n    def __setitem__(self,pos,value):\n        """"""\n        board[pos]=valueを使えるようにするための関数\n        値を代入する\n        Args:\n            -  pos(tuple):(y,x)形式の座標を表すタプル\n            -  value(any):代入する値\n        """"""\n        self.__data[pos[0]][pos[1]]=value\n\n    def is_inside_positive(self,pos):\n        """"""\n        正の整数の範囲内で指定のposがボードの内側に含まれているかどうかを返す関数\n        \n        Args:\n            -  pos (tuple): (y,x)形式の座標を表すタプル\n        """"""\n        y,x=pos\n        return y<self.__height and x<self.__width\n\n    def is_inside_negative(self,pos):\n        """"""\n        負の整数の範囲内で指定のposがボードの内側に含まれているかどうかを返す関数\n        \n        Args:\n            -  pos (tuple): (y,x)形式の座標を表すタプル\n        """"""\n        y,x=pos\n        return -1*self.__width<=x and -1*self.__height<=y\n    \n\n    def is_inside(self,pos):\n        """"""\n        指定のposがボードの内側に含まれているかどうかを返す関数\n        ただし、マイナスを許容する\n        Args:\n            -  pos(tuple):(y,x)形式の座標を表すタプル\n        Returns:\n            -  bool:含まれているか否か\n        """"""\n        return self.is_inside_positive(pos) or self.is_inside_negative(pos)\n\n    def rotate(self,degree:int):\n        """"""\n        ボードを回転させる関数\n        Args:\n            -  degree(int):ROTATE_**_DEGREE\n        """"""\n        if degree==self.ROTATE_90_DEGREE:\n            self.__data = [list(g) for g in zip(*self.__data[::-1])]\n            self.__height,self.__width=self.__width,self.__height\n        elif degree==self.ROTATE_180_DEGREE:\n            self.__data = [list(g)[::-1] for g in self.__data[::-1]]\n        elif degree==self.ROTATE_270_DEGREE:\n            self.__data = [list(g) for g in zip(*self.__data)][::-1]\n            self.__height,self.__width=self.__width,self.__height\n\n    def __flip_by_vertical(self):\n        """"""\n        ボードを縦方向の線対称に反転する\n        """"""\n        self.__data = [list(g)[::-1] for g in self.__data]\n    \n    def __flip_by_holizontal(self):\n        """"""\n        ボードを横方向の線対称に反転する\n        """"""\n        self.__data = [list(g) for g in self.__data[::-1]]\n    \n    def flip(self,vertical=False,horizontal=False):\n        """"""\n        ボードを縦か横か指定した方向の線対称に反転する\n        Args:\n            -  vertical(bool):初期値はFalseで、Trueにすると縦方向に反転する\n            -  horizontal(bool):初期値はFalseで、Trueにすると横方向に反転する\n        """"""\n        if vertical:\n            self.__flip_by_vertical()\n        if horizontal:\n            self.__flip_by_holizontal()\n\n    def copy(self):\n        """"""\n        コピー関数\n        Returns:\n            -  Board:別インスタンスで、中身が同じボードクラス\n        """"""\n        data=[]\n        for i in range(self.__height):\n            data.append(self.__data[i].copy())\n        return self.__class__(data)\n\n    def fill(self,value):\n        """"""\n        初期化関数\n        valueで指定した値でボードのすべてを埋める\n        Args:\n            -  value(any):埋めたい値\n        """"""\n        for i in range(self.__height):\n            for j in range(self.__width):\n                self.__data[i][j] = value\n\n    def add_wall(self,value):\n        """"""\n        ATフィールド関数\n        valueで指定した値でボードの右端と下端をひとつ増やす。\n        Args:\n            -  value(any):増やしたい値\n        """"""\n        for i in range(self.__height):\n            self.__data[i].append(value)\n        self.__width+=1\n        self.__height+=1\n        self.__data.append([value]*(self.__width))\n    \n    def input(f:callable=int)->tuple:\n        """"""二次元ボードの入力\n\n        Args:\n            -  f (callable, optional): 各要素にかける関数\n\n        Returns:\n            -  tuple: 二次元ボードとHとWの組\n        """"""\n        H,W=map(int,input().split())\n        board = []\n        for i in range(H):\n            board.append(list(map(f,input().split())))\n        return Board(board),H,W\n\n\n",python,tab
974,1341730,"dev/ABC424d.py",0,0,"# ABC424d\n# 2025-09-20 20:38:35\n\ndef main():\n    # 関数定義スペース\n\n    def func():\n        ...\n\n    ...    \n    # 入力スペース\n\n    H, W = splitA(input())\n    S = splitS(input())\n\n    ...\n\n    # 処理スペース\n\n\n\n\n\n\n    ...\n\n\n\n# テストケース中枢処理\ndef case():\n    # TESTCASE = 1\n    TESTCASE = int(input()) # テストケース数の指定\n    for _ in range(TESTCASE):\n        try:\n            main()\n        except solvedException:\n            continue\n        # raise unSolvedExeption\n\n\n# インポート\nimport sys, itertools, math, heapq\nfrom collections import defaultdict, deque\nfrom sortedcontainers import SortedSet, SortedList, SortedDict  # CPython?\n\n# 定数・環境設定\nsys.setrecursionlimit(10**8)\nsys.set_int_max_str_digits(0)\ndict = defaultdict\nUPPER_ALPHABET = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""\nLOWER_ALPHABET=""abcdefghijklmnopqrstuvwxyz""\nMOD = 998244353\nMAX = 10**18\nLRUD = [(0, 1), (0, -1), (1, 0), (-1, 0)]\nLURULDRD = [(-1, -1), (-1, 1), (1, -1), (1, 1)]\n\n# 各種関数定義(超圧縮)\n## 便利関数\ndef printe(*values,sep="" "",end=""\n""):print(*values,sep=sep,end=end); fin()\ndef prin(stop=False,sep="" "",end=""\n"",file=sys.stdout):return (lambda*values:printe(*values,sep=sep,end=end)) if stop else (lambda*values:print(*values,sep=sep,end=end,file=file))\ndef yes(f=True): printe(""Yes"") if (f) else None\ndef no(f=True): printe(""No"") if (f) else None\ndef debug(*values,sep="" "",end=""\n""): print(*values,sep=sep,end=end,file=sys.stderr)\ndef printYN(f:bool): yes() if f else no()\ndef fin(f=True): raise solvedException if f else None\n## 分割関数\ndef split(value:str|list,sep:str="" "",func:callable=str) -> list:\n    result = []\n    if type(value) == list:\n        for i in range(len(value)):\n            result.append(split(value[i],sep))\n        return result\n    else:\n        if sep in value:\n            for i in value.split(sep):\n                result.append(func(i))\n        else:\n            result.append(func(value))\n        return result\n## 入力受け取り用\ndef input():return(sys.stdin.readline()).rstrip() #入力定数倍\ndef splitS(value:str|list,sep:str="" "")->str:return split(value,sep)[0] #文字列・分割して最初\ndef splitN(value:str|list,sep:str="" "")->int:return split(value,sep,int)[0] # 整数・分割して最初\ndef splitB(value:str|list,sep:str="" "")->list:return list(split(value,sep)) # 文字列・分割してすべて\ndef splitA(value:str|list,sep:str="" "")->list:return list(split(value,sep,int)) # 整数・分割してすべて\n\n# 例外クラス\nclass solvedException(Exception): pass # 処理打ち切り例外\nclass unSolvedExeption(Exception): # 回答未出力例外\n    def __init__(description = ""解答が出力されていません。""): super().__init__(description)\n\n# 実行\nif __name__ == ""__main__"":\n    case()\n",python,tab
